Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ZIC1_human_tf_ARCHS4_coexpression	55/299	0.04	0.48	0.32	0.00	0.00	-1.27	4.07	CNTFR;PTPRS;STMN3;ENO2;SCRN1;PEG10;EVI5L;CDON;TMEM178A;ELMOD1;IGFBP2;ATP1B2;SEPT4;HPCAL4;SORCS2;TIAM1;TNIK;CERS1;RNF165;CRB2;CAMK2B;SPTBN4;BRSK2;TMEM59L;ADCY1;PTN;SEZ6L2;KLC1;LRRC55;NPAS3;FAM171A1;KLC2;FAM168A;SLC17A7;NCAM1;SRGAP3;PACSIN1;LRRC4B;B4GALNT4;TMEM132C;NTRK2;KCNJ9;DCLK2;GRIN2C;QKI;SDK1;VANGL2;SBK1;B4GAT1;REEP2;FAT2;NACAD;VIM;MEGF8;NES
PITX3_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.41	4.07	CLIC5;HSPB6;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;ACTN3;ACTN2;PAQR5;S100A1;TPM2;SHISA4;SYPL2;DUSP27;SHISA6;ACTA1;TMEFF2;GAP43;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;UPF3AP2;FBP2;RTN2;PFKFB1;DCAF12L2;NRAP;PACSIN3;SMYD1;SH3BGR;AGL;ANKRD23;SEMA4C;DUPD1;NR4A2;DES;NT5C1A;HRC;TMCC3;TCAP
MET_human_tf_ARCHS4_coexpression	55/299	0.04	0.48	0.32	0.00	0.00	-1.27	4.06	ERRFI1;NRP1;LAD1;TRIO;SH2D4A;CCDC47;CTNND1;PTPRK;LAMC1;PRSS23;PVR;BAIAP2L1;MPRIP;DAG1;ABCC3;ANXA1;CLUH;TMOD3;RIPK4;ZFP91;ANO6;OSMR;DKK1;TM4SF1;EREG;FRMD6;PKM;TRNP1;PHLDB2;TNFRSF21;CERS2;SEMA3C;ARHGEF28;AMIGO2;TGFA;MST1R;AKAP2;FAM83G;IRAK1;MLEC;SH3BP4;PLEK2;ICMT;TXNRD1;AHNAK2;FZD6;ARHGAP29;DCBLD2;FOSL1;FERMT1;KITLG;KLF5;GIPC1;MGAT4B;CALU
STAT6_human_tf_ARCHS4_coexpression	55/299	0.04	0.48	0.32	0.00	0.00	-1.27	4.05	DENND1C;DOCK8;PIK3CD;PTPRJ;LSP1;ARRB2;ITGAL;ETS1;LIMD2;PPP6R1;PSD4;TAGAP;RAC2;TBC1D10C;NFAM1;TMC8;ARHGEF18;ANXA11;TNFRSF1B;EML3;HLA-E;OSCAR;APBB1IP;CEACAM3;FGR;PACS1;KCNQ1;RAPGEF1;ADAM8;PLEKHO2;STK40;ZNF276;AKNA;RGS14;MVP;FPR1;NCF1B;CSF2RB;CFP;CORO1A;KIAA0040;ADGRG3;TMEM127;CHST15;CD300LB;S1PR4;WDTC1;DENND4B;SEMA4D;LILRB2;ABTB1;ATG16L2;BCL3;MYO1F;ENGASE
SMAD3_human_tf_ARCHS4_coexpression	55/299	0.04	0.48	0.32	0.00	0.00	-1.21	3.89	ERRFI1;TRIO;WDR1;SETD7;CTNND1;INPPL1;ZDHHC7;LAMC1;PRSS23;PVR;NDST1;BAIAP2L1;MPRIP;PPP6R1;AKT2;KIF5B;SDF4;QSOX1;PRKACA;PCYT1A;TPM2;TFE3;ANXA11;ZFP91;ANO6;TBC1D2B;OSMR;CKAP4;FRMD6;PKM;PACS1;MAPKAPK2;ERF;CUEDC1;ERGIC1;CERS2;ARHGEF28;SNX33;NID2;AKAP2;IRAK1;GPC1;NACC1;SH3BP4;PLXNA1;MAP4;FLNC;YKT6;GALNT5;TXNRD1;ARHGAP29;FOSL1;NPLOC4;NFIC;MGAT4B
FOXF2_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.35	3.88	LAMC3;MRGPRF;LAMC1;LRRC32;EPS8;RGS5;TNN;POM121L9P;ADAMTS1;GPER1;BDKRB2;PLCE1;QSOX1;STUM;PDGFRB;GUCY1A2;OSR2;PAQR7;ITGA1;RHOB;ATF3;C11ORF96;GPM6A;RASL12;COLEC11;FOXC1;CEMIP;HEPACAM;RGS16;IER5L;TWIST2;NID2;AKAP2;GJC1;CYB5R3;COBLL1;CCL2;HES1;MORC2;KCNJ2;TCEAL9;AFAP1L2;JUN;MYO10;PRRX2;NR2F1;ADAM33;CYBRD1;GNG11;TBX18;UBE2S;DLC1;COL9A1;NABP1
OLIG1_human_tf_ARCHS4_coexpression	55/299	0.04	0.48	0.32	0.00	0.00	-1.21	3.86	GALNT13;TRIL;STMN3;ELFN2;LCNL1;ADORA1;BAALC;DLGAP1;EVI5L;ZNF488;DGCR2;ITPK1;GPR37L1;ATP1B2;SEZ6L;SEPT4;BCR;RAP2A;ADGRB1;NPTXR;DSCAML1;CERS1;SPTBN4;ADCYAP1R1;WBP2;TMEM59L;AGAP2;SLC1A3;ADD1;NEU4;DPP6;FAM168A;EFS;NACC2;TSPAN7;NCAM1;FYN;CACNG4;MAPK4;LRRC4B;B4GALNT4;NTRK2;TMEM132E;CADM2;KCNJ9;SCD5;DCLK2;GRIN2C;S100B;QKI;GFAP;COL20A1;CNTN1;CSPG5;FXYD6
NR2F6_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.31	3.76	B4GALT2;LAD1;CHPF;CLTB;PTPRF;SMG5;PTBP1;BAIAP2L1;DAG1;SDF4;PHGDH;TPRN;CLUH;PCYT2;USP5;ATAD3A;EPN1;POR;SPINT1;MMP15;ERF;ELMO3;TKT;LLGL2;SLC27A4;AHCY;MST1R;SNX33;SLC1A5;PKMYT1;APH1A;FAM83G;IRAK1;PES1;NACC1;TMEM129;PACSIN3;MLEC;PLXNA1;YKT6;CD276;ICMT;PTGES2;PDAP1;KIAA2013;SMARCA4;TMEM54;UBE2S;FASN;GIPC1;CARM1;MGAT4B;FGFR4;CDK16
HOXC8_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.30	3.75	RET;B4GALT2;HSPB6;MAST2;SETD7;INPPL1;LAMC1;NDST1;ADAMTS1;CFL2;SPEG;PRKACA;CLUH;USP43;TPM2;COPZ2;SHISA4;MRPS7;CKAP4;FRMD6;LOX;TNNT1;KDELR3;LRRC15;FOXC1;IDUA;TWIST2;ZBTB42;SLC1A5;CYB5R3;GPC1;PACSIN3;FAM180A;PLXNA1;SLIT3;MAP4;FLNC;YKT6;PLXNA3;CA12;EGR3;HOMER1;DMPK;PRRX2;MAPK12;MARCH4;COL1A1;NR4A1;NFIC;CARM1;ITGA11;CALU;TGFBI;CDK16
TCF21_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.30	3.73	CLIC5;HSPB6;MRGPRF;PTPRM;PTPN21;LAMC1;LRRC32;TRIOBP;WISP1;FGF5;NDST1;C1QTNF1;ADAMTS1;BDKRB2;PGM5;PGPEP1;ADAMTS8;SH3D19;PDGFRB;OSR2;OSR1;TBC1D2B;SFRP1;COL4A4;NUPR1;MATN2;RASL12;CEMIP;CCL11;PKDCC;LRP1;EPAS1;ADH1B;MVP;LRRC17;TWIST2;SNX33;TRHDE;AGER;NID2;AKAP2;HSD11B2;SLIT3;NDP;CSMD1;GALNT5;ADAM33;CYBRD1;ABCA8;COL3A1;P4HA2;DLC1;POU2AF1;DCHS1
RBPJL_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.30	3.73	ERRFI1;BTG2;CHPF;SHB;MTRNR2L1;HID1;SERP1;FAM3B;NRTN;STUM;TPRN;ABCC3;PDIA2;RIPK4;TC2N;ADRA2A;RHOB;TPST2;GOLGA8B;NR5A2;KCNQ1;C9ORF3;TSNARE1;MATN4;KANK4;LLGL2;BRSK2;KLK1;ARHGEF28;HPN;PELI2;SLC38A10;C2CD4B;TRHDE;MROH1;COBLL1;KIAA1324;CDH23;SH3BP4;LRIG3;JUN;RPH3AL;HOMER2;SLC16A10;NR0B2;ARHGAP32;SDK1;SPSB1;HOOK2;NFIC;MTCO1P12;LNX1;GHRL;SPSB4
ZNF697_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.28	3.68	NRP1;NRP2;CDKN1A;TRIO;PTPRS;CXCL8;STMN2;SNX12;LAMC1;CXCL3;BACH1;ICAM1;NDST1;ZMYM4;CCRL2;SLC16A6;SACS;CEP170;CTSB;RBFOX2;SERPINB2;VPS37C;PLAUR;DICER1;OXSR1;CKAP4;SHISA6;HIC2;FRMD6;IL1B;MMP19;PLEKHO2;FJX1;C11ORF95;PFKFB3;INSIG1;AKAP2;MICALL1;NACC1;KCNMB4;SH3BP4;PLXNA1;CHML;C11ORF45;PAK3;YKT6;CD276;TMEM30A;FEM1B;LIMK1;YRDC;SPSB1;AMOTL1;FAM98A
STAT3_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.27	3.66	CSRNP1;STEAP4;WDR1;DYSF;PIK3CD;PTPRJ;ZDHHC7;SIPA1L2;ETS2;C6ORF106;C1RL;SDF4;RGS6;TFE3;ANXA11;TBC1D2B;ATP11B;TNFRSF1B;EML3;HLA-E;APBB1IP;ITPKB;PACS1;KCNQ1;IRF1;MAPKAPK2;RAPGEF1;ADAM8;STK40;ERGIC1;PFKFB3;CEBPD;EPAS1;MVP;FAM129A;SLC38A10;CSF2RB;NTN1;ADD1;SOCS3;SNX1;APOL6;OS9;C10ORF105;TMEM127;CHST15;STOM;WDTC1;SH3BP5L;BCL3;NUCB1;ESYT1;MXD1;SUGP2
STAT4_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.41	3.64	DENND1C;IL1RN;TRAF3IP3;TRAC;PRF1;TNFAIP3;CD3E;ITGAL;CD3D;ETS1;GNLY;TRBC1;CASP4;RAC2;TBC1D10C;CASP1;CD96;DUSP2;SP110;SYTL1;TMC8;TNFRSF1B;RUNX3;HLA-E;ZAP70;RRAGA;RPL3P7;CD8A;LCK;CD48;LCP2;ZDHHC20P1;SLFN5;AKNA;SH2D2A;CXCR6;CST7;CORO1A;TESPA1;CCL5;ICOS;C16ORF54;AC006449.2;TNFSF14;GPR137B;CD2;ISG20;CD6;CD7;ALOX5AP;CD27;IL7R;IL18R1
PLXNC1_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.26	3.63	FCN1;STEAP4;DOCK8;LST1;DYSF;PIK3CD;PTPRJ;LSP1;ARRB2;BACH1;DOCK11;CASP4;TAGAP;CASP1;FFAR2;APAF1;IL1R2;NFAM1;TNFRSF1B;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;GVINP1;ADAM8;LCP2;PLEKHO2;MCTP2;AKNA;RGS14;CLEC12A;FPR1;FAM129A;NCF1B;CSF2RB;CFP;SAMHD1;LILRA5;ADGRG3;CHST15;CD300LB;SEMA4A;GCA;SEMA4D;CARD8;LILRB2;ABTB1;BST1;VNN2;ATG16L2;SELL;MXD1;MYO1F
NFKB2_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.26	3.62	CSRNP1;IL1RN;CD83;CXCL8;TNFAIP3;CXCL3;ICAM1;GPR132;FCGRT;PPP6R1;ZMIZ2;CCRL2;FLVCR2;SDF4;TNFRSF8;ABCD1;DUSP2;SERPINB2;TFE3;PLAUR;TNFRSF1B;RUNX3;EML3;OSCAR;IRF4;IL1B;NINJ1;MAPKAPK2;RAPGEF1;MMP19;CHMP4B;CD48;ADAM8;LCP2;PLEKHO2;STK40;GRN;PFKFB3;SLC43A2;BCL2A1;INSIG1;PTGS2;SOCS3;DPP7;HLX;PLK3;SEMA4A;GADD45B;LILRB1;LILRB2;ISG20;EHD4;BCL3;TNFSF9
ZNFX1_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.25	3.60	IL1RN;DOCK8;TNFAIP3;PIK3CD;PTPRJ;ICAM1;HERC5;LACTB;GPR132;CCRL2;CASP4;RAC2;CMTR1;ABCD1;HERC6;GBP5;DUSP2;SP110;PLAUR;ANXA11;TNFRSF1B;RUNX3;HLA-E;OSCAR;IRF1;NINJ1;MAPKAPK2;RAPGEF1;LCP2;PLEKHO2;SLFN5;GRN;PFKFB3;SLC43A2;BCL2A1;MVP;FAM129A;IFI6;CSF2RB;SAMHD1;KIAA0040;SOCS3;APOL6;IFI16;TMEM127;ST3GAL4;APOL3;APOL2;GBP3;LILRB1;LILRB2;ISG20;EHD4;BCL3
FOXC2_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.25	3.59	SRPX;ROBO4;CHPF;WDR1;ELN;LAMC1;LRRC32;PRSS23;PVR;EPS8;FGF5;NDST1;MT2A;EFEMP1;ADAMTS1;PDGFRB;POSTN;VWF;TPM2;COPZ2;SLC39A13;PDCD1LG2;OSMR;CKAP4;PROCR;FRMD6;LOX;CDC42EP3;KDELR3;MFGE8;ENG;AMIGO2;NID2;AKAP2;CYB5R3;GPC1;SH3BP4;FAM43A;FLNC;GAS2L1;PDLIM7;BDNF;LIF;MARCH4;TNFRSF10D;COL1A1;FOSL1;DLC1;ITGA11;CALU;MSRB3;PTX3;VIM;TGFBI
MTF1_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.25	3.59	IL1RN;CD83;CXCL8;DOCK8;TNFAIP3;PTPRJ;CXCL1;ARRB2;CXCL3;CXCL2;ICAM1;LACTB;GPR132;CCRL2;NFKBIZ;FLVCR2;SLC39A8;SERPINB2;VPS37C;PLAUR;TNFRSF1B;MMP9;OSCAR;FGR;IL1B;NINJ1;ATP6V1B2;PELI1;MMP19;LCP2;PLEKHO2;STK40;GRN;PFKFB3;SLC43A2;BCL2A1;CSF2RB;PTGS2;SOCS3;TMEM127;HLX;CHST15;CD300LB;CCL2;ZNF267;PLK3;SEMA4A;LILRB1;LILRB2;GPR137B;PTPRE;IL6;BCL3;MXD1
RAPGEF3_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.24	3.57	ROBO4;HSPB6;FLT4;PTPRM;CHRDL1;LIPE;LCNL1;C1QTNF1;MPRIP;ZMIZ2;AKT2;ADORA1;SYNPO;VWF;ITPK1;ADIPOQ;SPNS2;SEPT4;RHOB;ITPKB;GPD1;PLIN1;SHANK3;SPTBN4;LRP1;MYRF;EPAS1;ADH1B;IDUA;NPR1;ADD1;MROH1;SNX1;TP53INP2;NACC2;HSF4;MAP4;CD300LG;SASH1;AOC3;DMPK;IQSEC2;SORT1;KCNJ9;LGI4;CIDEA;ABCA8;CIDEC;FA2H;SMOC2;LEP;NFIC;NUCB1;MAP3K10
TSC22D4_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.21	3.50	PIK3CD;LSP1;ARRB2;LIMD2;PPP6R1;ZMIZ2;RAC2;TBC1D10C;NFAM1;ITPK1;TFE3;TMC8;ARHGEF18;ANXA11;OLIG1;TNFRSF1B;DGKZ;EML3;HLA-E;OSCAR;CEACAM3;APBB1IP;ITPKB;FGR;PACS1;RAPGEF1;ADAM8;PLEKHO2;STK40;ZNF276;ADCYAP1R1;AKNA;RGS14;WBP2;FPR1;NCF1B;CSF2RB;CFP;CORO1A;ADD1;ADGRG3;DPP7;SPOCK2;NACC2;S1PR4;WDTC1;DENND4B;SEMA4D;GFAP;ABTB1;SH3BP5L;ATG16L2;NUCB1;MYO1F
STAT5A_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.21	3.49	IL1RN;DOCK8;PIK3CD;ICAM4;LSP1;ARRB2;ICAM1;LIMD2;GPR132;SEPT6;PPP6R1;PSD4;RAC2;SCARF1;CMTR1;KCNH2;PRKCB;TMC8;ANXA11;TNFRSF1B;RUNX3;EML3;HLA-E;OSCAR;APBB1IP;IRF1;NINJ1;MAPKAPK2;RAPGEF1;ADAM8;LCP2;PLEKHO2;STK40;ZNF276;GRN;PFKFB3;AKNA;NOD1;CSF2RB;SOCS3;DPP7;TESPA1;HLX;PRAME;RILP;NFE2;DENND4B;NFATC1;LILRB2;P2RX1;BCL3;NUCB1;ESYT1;RNF220
TFEB_human_tf_ARCHS4_coexpression	54/299	0.06	0.59	0.23	0.00	0.00	-1.21	3.47	DENND1C;CIITA;LST1;DYSF;PIK3CD;LSP1;ARRB2;LIMD2;PSD4;RAC2;TBC1D10C;TNFRSF8;FFAR2;NFAM1;ANXA11;TNFRSF1B;RUNX3;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;PACS1;RAPGEF1;IGHD;CD48;ADAM8;PLEKHO2;STK40;AKNA;RGS14;FPR1;NCF1B;CSF2RB;CFP;CORO1A;KIAA0040;LILRA5;ADGRG3;CHST15;CD300LB;S1PR4;WDTC1;SEMA4A;DENND4B;SEMA4D;LILRB1;LILRB2;ABTB1;VNN2;ATG16L2;BCL3;CD22;MYO1F
GATA4_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.34	3.45	TMEM41A;MAGEF1;NAB2;SLC2A3;EMC10;PCSK6;SIPA1L2;SERPINA5;HERC5;NPPB;NPPA;FDXR;PHF24;PGM5;MYOZ2;LEFTY1;ELOVL2;MYL4;MMP15;TNNT2;ITGA8;TYRO3;ALPK3;HRASLS5;ALPK2;MGARP;ROR2;KCTD12;MYH6;POPDC2;RASL12;STAU1;GATA5;KIAA1210;ERBB4;DNAJB5;GTF2IP4;TBX20;CHAD;GPC3;SUSD3;HAS2;LRIG3;BMP2;FRAS1;ETNK2;MAFF;NOSTRIN;HRC;RAB17;FGFR4;MAMLD1;YPEL2
HAND2_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.30	3.34	RET;CNTFR;SYNM;EMC10;LAMC1;SIPA1L2;TRIOBP;RGS5;C1QTNF1;NPPA;SPEG;KIF21A;PGM5;MYOZ2;TGM2;DUSP4;PDGFRB;KCNH2;SORCS1;ANO6;AVPR1A;MYL4;EML5;SYNPO2L;MMP15;TNNT2;CDC42EP3;SLC27A6;ALPK2;MYH6;POPDC2;COLEC11;DUXAP9;SYNPO2;PRSS44;PRSS42;APH1A;TBX20;SMYD1;SLIT3;FLNC;YKT6;SLC10A4;STAC;PDAP1;TBX18;COL3A1;FABP3;HRC;DCHS1;AMOTL1;LGR5;PRRT4
ASCL2_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.29	3.31	LST1;LSP1;ARRB2;FCGRT;PSD4;RAC2;TBC1D10C;CASP1;ABCD1;NFAM1;SYTL1;ANO9;TNFRSF1B;DGKZ;EML3;HLA-E;OSCAR;FGR;ZAP70;KCNQ1;IRF1;NINJ1;ELMO3;ADAM8;LCP2;PLEKHO2;LLGL2;ZNF276;C11ORF96;GRN;SLC43A2;CEBPD;NCF1B;ZBTB42;CSF2RB;CFP;CORO1A;CLN3;ZNRF2;DPP7;MAT2A;HLX;SEMA4A;LILRB1;LILRB2;ISG20;ABTB1;PFKL;LRG1;ATG16L2;BCL3;MYO1F;ENGASE
KLF12_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.27	3.28	TRAF3IP3;DYRK2;DOCK8;TNFAIP3;PIK3CD;CD3E;ITGAL;IKZF3;ETS1;GPR174;DOCK11;TAGAP;TBC1D10C;SACS;CEP170;UTY;CD96;RBFOX2;CACNA2D1;THEMIS;TMC8;DICER1;TC2N;PHF20L1;ITPKB;GOLGA8B;ZAP70;GVINP1;ZNF831;TNIK;MACF1;SLFN5;AKNA;MYCBP2;KCNA3;CXCR4;NREP;RASGRP1;GNG2;TNKS2;SPOCK2;SLAMF6;NCAM1;FYN;CLASP1;SEMA4D;DCLK2;CD6;CD5;CCDC88C;CCSER2;TCF4;IL7R
JUND_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.26	3.25	DENND1C;CSRNP1;BTG2;TNFAIP3;PIK3CD;ITGAL;ZFP36;PPP6R1;ZMIZ2;PSD4;NFKBIZ;TBC1D10C;JUNB;SYTL1;TMC8;ANO9;ARHGEF18;FOS;RUNX3;DGKZ;EML3;RHOB;ITPKB;ZAP70;PACS1;MAPKAPK2;RAPGEF1;ERF;ZNF276;AKNA;CEBPD;IDUA;CXCR4;SLC38A10;DPP7;SPOCK2;D2HGDH;WDTC1;PLK3;JUN;DENND4B;SEMA4D;NFATC1;KLF4;NR4A2;NR4A1;RGCC;CD6;CD5;CCDC88C;BCL3;PDCD1;ENGASE
RELB_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.24	3.20	IL1RN;CD83;PIK3CD;LSP1;ARRB2;CXCL3;ICAM1;GPR132;FCGRT;PPP6R1;CCRL2;FLVCR2;SDF4;CTSD;ABCD1;TFE3;PLAUR;ANXA11;TNFRSF1B;RUNX3;MMP9;EML3;HLA-E;OSCAR;KCNQ1;IRF1;NINJ1;MAPKAPK2;RAPGEF1;MMP19;CHMP4B;ADAM8;LCP2;PLEKHO2;STK40;GRN;PFKFB3;SLC43A2;MVP;CSF2RB;SOCS3;DPP7;TMEM127;HLX;PLK3;SEMA4A;LILRB1;NFATC1;LILRB2;ISG20;BCL3;NUCB1;LGMN
ZNF423_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.24	3.20	CNTFR;PTPRS;MAGEF1;CIB2;DACH1;SLC16A2;ZNF521;CDON;MAGI1;RBFOX2;SEMA6A;GPT2;IGFBP2;EBF3;SORCS2;SFRP2;SMO;ALDH7A1;CERS1;RNF165;CRB2;C11ORF95;BRSK2;FIGNL2;PTN;NREP;SEZ6L2;DTX4;KLC1;NPAS3;GJC1;FAM171A1;EFS;PCBP4;DNAJB5;NCAM1;GPC4;SRGAP3;MEST;LRRC4B;B4GALNT4;CENPV;NLGN4X;NR2F1;DCLK2;KLHL23;SMARCA4;SDK1;SBK1;DCHS1;MEGF8;ZNF532;NES
RXRA_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.22	3.14	FCN1;INPPL1;DYSF;PIK3CD;PTPRJ;ZDHHC7;LSP1;ARRB2;FCGRT;PPP6R1;C1RL;PRKACA;ABCD1;PLEKHG3;NFAM1;ITPK1;TFE3;VPS37C;ARHGEF18;ANXA11;TNFRSF1B;EML3;HLA-E;OSCAR;CEACAM3;FGR;PACS1;KCNQ1;MAPKAPK2;RAPGEF1;CHMP4B;ADAM8;PLEKHO2;STK40;GRN;CEBPD;FPR1;CSF2RB;CFP;ADGRG3;APH1A;TMEM127;CHST15;CD300LB;WDTC1;DENND4B;LILRB2;ABTB1;SH3BP5L;ATG16L2;BCL3;NUCB1;MYO1F
TEAD2_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.22	3.14	B4GALT2;PTPRS;CTNND1;CIB2;LAMC1;NDST1;PTBP1;GPR176;DAG1;RBPMS2;DNMT3B;PHGDH;PELP1;TLE1;SEMA6A;PAWR;SREBF2;CKAP4;CLDN6;SFRP1;CARHSP1;SFRP2;SMO;RAB34;ERF;TKT;MFGE8;PHC1P1;MDFI;GTF3C1;AHCY;PKDCC;FIGNL2;NACC1;MLEC;SH3BP4;PLXNA1;GPC4;MEST;CD276;ICMT;NLGN4X;RYK;HMGA1;SMARCA4;FRAS1;VANGL2;CARM1;SERBP1;TDGF1;ZNF532;NES;CDK16
H1F0_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.20	3.09	ERRFI1;MAST2;CTNND1;INPPL1;PTPRF;SMG5;NDST1;PTBP1;MPRIP;DAG1;SDF4;CLUH;USP5;AHSG;GPT2;SREBF2;PKM;MMP15;ERF;CHMP4B;ERGIC1;CERS2;GTF3C1;ITIH3;CUL7;AHCY;TMEM63B;STAU1;SLC1A5;APH1A;KLC2;OS9;IRAK1;PES1;NACC1;GPC3;MLEC;DCAF11;YKT6;SERPIND1;DHRS2;NET1;PFKL;SLC6A8;FASN;GIPC1;CARM1;MGAT4B;NUCB1;NOTUM;LSM14B;FGFR4;CDK16
HIC1_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.19	3.06	BTG2;CIITA;HSPB6;WDR1;MRGPRF;TNFAIP3;LAMC1;LRRC32;NR3C1;IKZF3;GPR132;IGHG1;TNN;ZMIZ2;TNFRSF8;DUSP4;PDGFRB;HLA-H;DUSP2;ANXA11;TBC1D2B;RUNX3;RHOB;PACS1;IRF4;RAPGEF1;CD48;C11ORF96;RASL12;LRP1;TWIST2;ADCY3;NID2;AKAP2;POLD4;SLAMF1;CCL22;GADD45B;EDEM1;GPR55;ADAM33;CYBRD1;LILRB1;MCOLN2;COL1A1;EHD4;DLC1;POU2AF1;CARM1;TNFSF9;NUCB1;NFKBID;CD22
TBX18_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.18	3.04	SRPX;MRGPRF;LAMC1;LRRC32;WISP1;EPS8;NDST1;RGS5;EFEMP1;ADAMTS1;LEPR;BDKRB2;QSOX1;PDGFRB;OSR2;OSR1;ITGA1;COPZ2;CKAP4;FRMD6;LOX;ALPK2;KDELR3;MFGE8;MYH6;VGLL3;GTF3C1;COLEC11;FOXC1;CEMIP;LRP1;TWIST2;NID2;AKAP2;TUBA3E;TBX20;SLIT3;FLNC;SASH1;TGFB2;AHNAK2;PRRX2;ADAM33;CYBRD1;COL1A1;COL3A1;DLC1;COL9A1;CALU;UBA2;PTX3;AMOTL1;TGFBI
NFATC1_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.16	3.00	DENND1C;DOCK8;PIK3CD;PTPRJ;LSP1;CD3E;ITGAL;IKZF3;ETS1;LIMD2;SEPT6;PPP6R1;ZMIZ2;PSD4;TAGAP;RAC2;TBC1D10C;JUNB;TMC8;ANXA11;TNFRSF1B;RUNX3;DGKZ;EML3;HLA-E;APBB1IP;ITPKB;FGR;ZAP70;PACS1;MAPKAPK2;RAPGEF1;IGHD;CD48;LCP2;PLEKHO2;STK40;AKNA;CORO1A;KIAA0040;DPP7;SPOCK2;WDTC1;JUND;DENND4B;SEMA4D;CD6;CD5;CCDC88C;BCL3;PDCD1;CD22;ENGASE
SETBP1_human_tf_ARCHS4_coexpression	53/299	0.08	0.73	0.13	0.00	0.00	-1.16	2.98	DACH1;REV3L;ITGB8;KIF21A;CEP170;KIFAP3;C3ORF14;RALGPS1;CDON;SOX5;MAGI1;USP47;RBFOX2;HMGCS1;CACNA2D1;MAGI2;SOX11;CBFA2T2;RAB30;TOX;RNF165;KLHL14;SLCO5A1;PTN;NREP;NPAS3;GNG2;CUX2;ZNF286B;NCAM1;SRGAP3;PAK3;CLASP1;NTRK2;ST8SIA2;NTRK3;DCLK2;SLC16A14;QKI;MAPK10;VANGL2;SBK1;GSTA4;C18ORF32;ID4;ZNF536;C16ORF45;DCHS1;FAT3;FXYD6;TCF4;SSBP2;ZNF532
