Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Iqcg,0.00414940,1530600,759970,792120,1303000,712300,0,1349400,745460,1.56232278,0.64369254,0.28932792,1.78922253
Vdac3,0.00000000,320090000,448250000,363500000,306720000,367450000,606680000,320030000,490650000,0.80600176,-0.31114511,0.28966303,1.78755252
Eci2,0.00000000,32195000,38536000,42142000,30348000,38627000,137040000,43652000,45454000,0.54091996,-0.88651297,0.28971307,1.78730335
Mrps23,0.00000000,29410000,17072000,35004000,18890000,24495000,12705000,16348000,22803000,1.31466517,0.39469540,0.28988851,1.78642994
Rb1cc1,1.00000000,86268,91763,0,22496,69829,0,194300,192410,0.43923301,-1.18694161,0.29023936,1.78468491
L2hgdh,0.00000000,9514000,6058400,7010300,10585000,6429400,5193400,7958600,7743400,1.21383139,0.27956804,0.29088071,1.78150045
Ppa2,0.00000000,47969000,38778000,44736000,50147000,51874000,60940000,54799000,38948000,0.87930442,-0.18556538,0.29321849,1.76995202
Ndufa1,0.00000000,8369100,10741000,10308000,13491000,8314200,0,9451300,11756000,1.45348644,0.53951761,0.29381603,1.76701497
Cox7a2,0.00000000,30253000,15677000,47173000,157860000,18561000,0,37094000,29770000,2.93781680,1.55474443,0.29390432,1.76658152
Sdha,0.00000000,2091500000,2579100000,2481300000,1750200000,2487500000,3084800000,2942000000,1905600000,0.85433641,-0.22712382,0.29394352,1.76638911
Aldh1l2,0.00000000,85874000,99206000,52163000,144600000,177080000,163730000,49526000,154350000,0.70103326,-0.51244521,0.29512287,1.76061236
Fam173a,0.00542010,3386700,2334400,3312400,3914300,2916800,0,3209600,2887100,1.43648971,0.52254766,0.29671254,1.75286221
Abhd11,0.00000000,59615000,52060000,72420000,52386000,64226000,43982000,49495000,49351000,1.14212235,0.19171720,0.29782867,1.74744544
Gpx1,0.00169490,3182400,2923600,4011300,3433000,3546800,0,2605700,3291000,1.43488114,0.52093123,0.29978095,1.73801937
Iars2,0.00000000,552410000,408470000,495450000,409740000,434860000,755500000,618360000,451760000,0.82551936,-0.27662605,0.29982487,1.73780806
Mrpl53,0.00167500,1903500,1541300,1206800,1356600,1624100,0,1208100,1330800,1.44323805,0.52930928,0.29983092,1.73777895
2-Mar,0.00151520,1922600,1541700,2872400,1475100,1695700,3285200,7430700,2035600,0.54071377,-0.88706299,0.30031156,1.73546808
Smg1,1.00000000,921210,0,0,1762000,0,536360,0,0,5.00262883,2.32268642,0.30048671,1.73462690
Hbb-bs;Hbbt1;Hbb-y;Hbb-b2;Hbb-b1,0.00927150,1209400,1227400,3323800,542960,478990,0,1603000,1008900,2.03939966,1.02814452,0.30279422,1.72359043
Nubpl,0.00000000,9091600,8295200,21288000,14978000,13354000,10224000,7498800,6913200,1.41228744,0.49803375,0.30360020,1.71975536
Timm21,0.00000000,173400000,231630000,816970000,457620000,278250000,176100000,155540000,338890000,1.77029448,0.82398937,0.30421923,1.71681674
Coq4,0.00181160,12373000,10736000,17175000,15524000,12589000,20088000,18259000,14887000,0.84784954,-0.23811984,0.30476436,1.71423390
Serhl,0.00000000,7068800,8041400,5728900,5253700,5794400,11281000,7174000,7936300,0.81069543,-0.30276808,0.30697559,1.70380414
Slc25a29,0.00178570,2838600,1382000,885770,469170,729910,813560,603330,890960,1.83541162,0.87610365,0.30750002,1.70134161
Abhd10,0.00000000,7260400,9984600,6512500,5664400,6954500,0,7588800,5839600,1.44345996,0.52953109,0.30794516,1.69925465
Ndufa6,0.00000000,459470000,358660000,346000000,247330000,377090000,424210000,410800000,411980000,0.86908280,-0.20243446,0.31088304,1.68555619
Glud1,0.00000000,33111000,37231000,34781000,25009000,30806000,37574000,35226000,42324000,0.89174262,-0.16530073,0.31170875,1.68172945
Coasy,0.00286530,474040,383400,618010,508890,443490,387040,464120,449560,1.13767264,0.18608549,0.31181031,1.68125945
Gfm2,0.00000000,17079000,12916000,16981000,19595000,16760000,27060000,17293000,18091000,0.84050048,-0.25067945,0.31303097,1.67562269
Nqo1,0.00283290,852890,866870,1120200,939320,869440,0,649860,1106400,1.43934189,0.52540932,0.31603841,1.66182817
Atp5c1,1.00000000,1625100,67882000,1274800,31113000,1632500,0,15720000,8334400,3.96680409,1.98797715,0.31651503,1.65965407
Xpnpep3,0.00000000,1485000,1255100,1998700,0,1500300,1610200,1472100,2262700,0.69227061,-0.53059200,0.31764112,1.65453042
Tsfm,0.00000000,27745000,21333000,25846000,31046000,39296000,51397000,22667000,25041000,0.76567366,-0.38519847,0.31853312,1.65048472
Ptges2,0.00000000,29237000,19836000,20840000,26278000,24668000,40890000,22929000,28366000,0.82317955,-0.28072095,0.31858905,1.65023142
Mccc1,0.00000000,203050000,131240000,284450000,320070000,231590000,165980000,186020000,146330000,1.28618205,0.36309486,0.31917077,1.64759956
Etfdh,0.00000000,824910000,756280000,844460000,636880000,737630000,892070000,767470000,996410000,0.90244815,-0.14808405,0.31924306,1.64727285
Ankrd60,1.00000000,3569000,535950,802470,0,4831000,4621300,0,1688500,0.44049081,-1.18281618,0.31960822,1.64562357
Immt,0.00000000,351780000,260320000,398980000,378120000,464060000,535500000,339210000,316980000,0.83901555,-0.25323054,0.32004939,1.64363356
Ddx28,0.00929610,276300,203480,444460,363090,293710,0,260080,332060,1.45321443,0.53924759,0.32032259,1.64240255
Mrps18c,0.00160000,576300,699600,0,0,0,1866900,705050,638180,0.39746054,-1.33111646,0.32044728,1.64184108
Polg,0.00000000,5750200,2860000,13191000,3135100,2831000,0,7482200,2028400,2.02050788,1.01471798,0.32273053,1.63159806
Wasl,0.00537630,656740,668320,887350,779900,719540,959050,695060,1208400,0.83536243,-0.25952583,0.32331135,1.62900392
Tomm5,0.00150600,1774900,536460,4136400,7712300,778530,1096200,3808000,697330,2.21942427,1.15018548,0.32371394,1.62720861
Pecr,0.00921050,253380,0,0,320920,541010,0,413220,244350,0.47915033,-1.06144974,0.32398748,1.62599003
Tmem126a,0.00000000,24039000,28175000,81428000,42278000,40561000,13480000,21147000,36209000,1.57921668,0.65920913,0.32482769,1.62225346
Cisd3,0.00000000,20065000,14070000,9793200,4663900,9494100,25812000,15242000,18227000,0.70653623,-0.50116455,0.32542141,1.61961892
Macrod1,0.00000000,106520000,137930000,128980000,117800000,137040000,375960000,144700000,118340000,0.63299572,-0.65973235,0.32746814,1.61057353
Polrmt,0.00000000,24478000,22107000,41694000,12968000,14206000,11302000,22991000,23306000,1.41002716,0.49572295,0.32979148,1.60037398
Bola1,0.00286940,2258500,1761700,4080600,2501300,2975300,0,1868500,2319700,1.48001675,0.56561351,0.33254589,1.58837467
Eci2,0.00000000,219390,181320,360560,193780,665230,0,365680,653650,0.56694330,-0.81872365,0.33284860,1.58706199
Cox5a,0.00000000,1828100000,1739500000,2046200000,1887500000,1833600000,30619000,1823100000,1762800000,1.37635527,0.46085291,0.33319711,1.58555222
Oat,0.00000000,60274000,39273000,63680000,79489000,55961000,56383000,50578000,40304000,1.19431569,0.25618423,0.33558744,1.57523940
Pgls,0.00000000,716290,799790,568230,484040,720980,650190,1097000,646090,0.82470635,-0.27804758,0.33652267,1.57122439
Got2,0.00000000,1249300000,1581000000,1315100000,1478200000,1303300000,1788700000,1525900000,1529400000,0.91480813,-0.12845891,0.33713184,1.56861522
Aldh1b1,0.00000000,6070100,8252300,9450800,6153300,8336400,10736000,5906600,11126000,0.82887412,-0.27077508,0.33745916,1.56721519
Eno1;Eno2,0.00000000,3382900,4608900,3975900,5454700,4447900,2938100,3677700,4055000,1.15237421,0.20460928,0.33746250,1.56720091
Cpt1b,0.00000000,1737600000,1658000000,1191200000,1471200000,1397500000,1891300000,1623400000,1832200000,0.89822668,-0.15484853,0.33916653,1.55993430
Coq3,0.00000000,48554000,36283000,67035000,57201000,59517000,43770000,39798000,27383000,1.22646479,0.29450582,0.33955774,1.55827118
Atp5d,0.00000000,406910000,562010000,490860000,524430000,436260000,226880000,373510000,592540000,1.21791197,0.28440986,0.34192831,1.54823424
Pnpt1,0.00000000,12906000,9786100,10314000,11896000,11580000,12781000,10712000,14029000,0.91446581,-0.12899887,0.34210345,1.54749544
Ndufa4,0.00000000,700440000,563560000,272950000,337000000,314320000,2579100,504840000,437520000,1.48813695,0.57350730,0.34313820,1.54313834
Pdpr,0.00000000,100430000,138940000,203650000,154860000,166220000,29041000,119020000,133380000,1.33556419,0.41744931,0.34426839,1.53839438
Myh14,0.00536190,0,1317300,948080,1024500,1329000,15308000,2031600,429920,0.17225837,-2.53735398,0.34441221,1.53779181
Dnajc30,0.00543480,3646000,3998100,5966500,8695300,4653600,2986700,2740600,6120100,1.35179080,0.43487190,0.34541884,1.53358131
Atp5j2,0.00000000,1280700000,1418900000,696920000,846420000,820300000,22081000,1179400000,961530000,1.42222517,0.50814990,0.34719418,1.52618533
Mrps24,0.00412650,1150900,867680,1717400,968950,1395400,5657000,1464100,1043000,0.49217323,-1.02276190,0.34977865,1.51548586
Acot13,0.00000000,252390000,225150000,146790000,114990000,151990000,522310000,203530000,239040000,0.66195708,-0.59519042,0.35047508,1.51261623
Akr1b10,0.00000000,47278000,35132000,41797000,46862000,53472000,62583000,53688000,31488000,0.85011256,-0.23427422,0.35342323,1.50053121
1700021F05Rik,0.00000000,3586800,2811500,12156000,4894900,5167300,2590500,3686900,2538100,1.67700318,0.74588542,0.35607656,1.48974063
Tomm22,0.00169780,3326200,3180700,4316900,3743700,4829200,0,2049000,3219800,1.44261240,0.52868373,0.35647424,1.48813026
Atp5o,0.00000000,6971300000,6883000000,5379200000,6189500000,4481900000,6000500000,6945500000,5450500000,1.11122281,0.15214812,0.35822916,1.48104533
Ubn1,0.00164470,118330,73073,0,75198,22237,581790,246840,0,0.31332864,-1.67425145,0.36097578,1.47002607
Mtx1,0.00000000,6718500,2573000,6022100,11552000,2189600,5150600,4719800,6430900,1.45290927,0.53894461,0.36125004,1.46893037
Olfr173,1.00000000,0,203450,0,1518200,0,0,0,150510,11.43877483,3.51586063,0.36225679,1.46491537
Fis1,0.00000000,7868200,5935900,3921300,4241600,5875500,19429000,5771800,5689900,0.59747812,-0.74304222,0.36304601,1.46177570
Dguok,0.00000000,6439000,16572000,6955300,5016300,9082100,11143000,12723000,13675000,0.75032763,-0.41440742,0.36330694,1.46073916
Poldip2,0.00000000,5282600,6462000,7634300,6258300,4015000,6464900,6672300,5419700,1.13580159,0.18371084,0.36353074,1.45985075
Dnajc28,0.00000000,416550,775980,0,878500,493060,716500,848470,902420,0.69956594,-0.51546804,0.36448260,1.45607814
Mrpl13,0.00000000,26275000,37509000,47458000,60344000,24253000,26839000,27003000,54094000,1.29803539,0.37632972,0.36748925,1.44422607
Ndufaf3,0.00161810,9730400,10936000,6483100,6240300,6049500,21092000,11500000,8932100,0.70185565,-0.51075375,0.36755639,1.44396248
Dhx30,0.00000000,15401000,10425000,32731000,10343000,10642000,10594000,12618000,12562000,1.48440193,0.56988178,0.36766940,1.44351901
Ndufb9,0.00000000,395930000,295110000,265160000,161460000,223720000,776050000,303980000,352600000,0.67477284,-0.56752618,0.36879554,1.43910688
Ociad2,0.00298060,554860,661450,0,0,718800,0,824330,671950,0.54910432,-0.86484783,0.37003035,1.43428451
9330101J02Rik,1.00000000,371820,366340,0,10778000,0,0,0,453600,25.38835979,4.66609529,0.37104020,1.43035258
Bcl11b,0.00286120,596190,0,0,210190,372790,0,1449700,360220,0.36943983,-1.43658870,0.37121946,1.42965577
Etfb,0.00000000,3843900000,3083400000,3378500000,3355900000,3145000000,2602400000,3678500000,3183400000,1.08346221,0.11564883,0.37220699,1.42582294
Mrpl46,0.00000000,6511700,5749800,7463000,7781100,9385100,13650000,6182600,5920300,0.78278787,-0.35330670,0.37274027,1.42375742
Pcyox1l,1.00000000,4883700,3425600,4060500,4028200,3554200,9064000,4288900,4734700,0.75770038,-0.40030063,0.37315685,1.42214592
Rmnd1,0.00162340,1494300,2046400,1561100,703200,990210,2771300,1801200,2000500,0.76753125,-0.38170261,0.37827414,1.40249595
Atp5c1,0.00000000,1861500000,1972700000,1439200000,1791200000,1861000000,1501200000,1498700000,1654300000,1.08432588,0.11679841,0.37835418,1.40219069
Cox4i1,0.00000000,2294800000,1923800000,2074200000,2114400000,2260900000,3737200000,1877800000,2241400000,0.83097269,-0.26712703,0.37844591,1.40184100
Lamp1,0.00000000,3625200,1054400,746880,1118400,1159900,0,842810,1612700,1.81027325,0.85620748,0.37853687,1.40149426
Gstk1,0.00000000,430830000,404860000,418240000,797190000,619170000,224030000,358530000,371510000,1.30375531,0.38267313,0.37921550,1.39891015
Timm17b,0.00173910,6235600,2913900,12769000,13858000,8692700,6939400,5308000,3657500,1.45447117,0.54049470,0.38025187,1.39497277
Lrpprc,0.00000000,7362600000,5754500000,8074100000,2970900000,3935700000,2985400000,5308400000,6664600000,1.27881720,0.35481005,0.38332490,1.38336037
Ndufb6,0.00000000,418480000,245170000,188920000,163990000,199990000,462040000,321120000,327930000,0.77536077,-0.36706035,0.38439658,1.37933260
Ak2,0.00000000,8393100,3930300,4805600,7996400,10793000,6968500,8965300,4804100,0.79685007,-0.32761979,0.38565804,1.37460592
Ankra2,1.00000000,47317000,4385500,1804200,2040500,1198500,2545800,1706000,5041500,5.29434415,2.40445198,0.38754976,1.36754653
Rdx;Msn;Ezr,0.00409840,248210,392770,0,0,330080,0,215480,1048600,0.40208009,-1.31444519,0.38873646,1.36313566
Nit1,0.00418410,3045800,3712300,3061100,2310100,2447700,0,2769500,3666400,1.36535864,0.44927995,0.38886734,1.36265001
Mterf2,0.00000000,2432600,2175100,6844900,3702100,4495600,11435000,4862900,2679200,0.64563088,-0.63121851,0.38957289,1.36003480
Mrpl16,0.00159740,6185000,7979200,11669000,12097000,11100000,3773800,8839100,6289800,1.26422622,0.33825464,0.39002828,1.35834937
Krt17,0.00000000,213660,0,0,283390,0,14766000,401130,0,0.03277153,-4.93141332,0.39010300,1.35807299
,0.00000000,282110000,353220000,161580000,542350000,317260000,654930000,314570000,471990000,0.76148401,-0.39311436,0.39060618,1.35621332
Apool,0.00000000,121930000,143320000,126140000,161260000,194180000,160490000,106190000,170570000,0.87523558,-0.19225671,0.39076998,1.35560845
Oprm1,1.00000000,0,0,0,0,29211000,0,0,0,0.00000000,-10.00000000,0.39100222,1.35475130
,0.00000000,9229800,0,0,0,0,0,0,0,10.00000000,10.00000000,0.39100222,1.35475130
Sf1,1.00000000,0,0,0,0,0,450990,0,0,0.00000000,-10.00000000,0.39100222,1.35475130
Gm10553,1.00000000,259540,0,0,0,0,0,0,0,10.00000000,10.00000000,0.39100222,1.35475130
U2af2,1.00000000,0,0,0,0,0,1044200,0,0,0.00000000,-10.00000000,0.39100222,1.35475130
Cryz,0.00928380,0,0,0,0,0,23859,0,0,0.00000000,-10.00000000,0.39100222,1.35475130
Sfxn3,0.00000000,0,0,0,0,0,549930,0,0,0.00000000,-10.00000000,0.39100222,1.35475130
Cltc,0.00160260,680420,0,0,0,0,0,0,0,10.00000000,10.00000000,0.39100222,1.35475130
Tomm6,0.00000000,0,0,4204900,0,0,0,0,0,10.00000000,10.00000000,0.39100222,1.35475130
Agpat5,0.00283690,0,0,0,0,0,1961400,0,0,0.00000000,-10.00000000,0.39100222,1.35475130
Tomm20,0.00918640,0,0,0,0,0,0,505450,0,0.00000000,-10.00000000,0.39100222,1.35475130
Hdhd3,0.00158230,2210700,2395500,1696000,1314800,1736300,1435700,1751900,1691000,1.15149133,0.20350355,0.39122280,1.35393766
Aldh5a1,0.00000000,13943000,19770000,31198000,31113000,22873000,19008000,17116000,19664000,1.22073200,0.28774651,0.39334973,1.34611549
Cox15,0.00162870,1502000,1947900,4629600,2610200,1926700,930590,2194000,2690400,1.38079670,0.46550092,0.39395138,1.34391050
Vdac1,0.00000000,2589800000,2245400000,1907000000,2155100000,2217800000,2924900000,2112200000,2488200000,0.91318985,-0.13101328,0.39500848,1.34004447
Prodh,0.00000000,4874600,3805100,5007600,4249800,4467700,4198600,4970200,6436100,0.89361119,-0.16228084,0.39607949,1.33613811
Hdhd2,0.00000000,2013700,2808700,1660500,1740600,2894900,3529600,1579900,2091200,0.81456278,-0.29590220,0.39633982,1.33519017
Ndufv2,0.00000000,1478100000,1574800000,1572500000,2313600000,2282400000,2483200000,1732200000,1527700000,0.86461903,-0.20986351,0.39686484,1.33328034
Fam213b,0.00000000,59387000,46367000,133050000,56339000,62275000,55998000,45057000,52748000,1.36590953,0.44986193,0.39740999,1.33129994
Tomm40,0.00000000,9423700,6980300,9371000,7587200,9932500,3440400,5797800,8331800,1.21306063,0.27865166,0.39872021,1.32655135
Sod2,0.00000000,3157400000,3320300000,1556600000,1621500000,1570900000,3756900000,4071600000,2930600000,0.78311436,-0.35270510,0.39875925,1.32641011
Dnajc19,0.00000000,5559500,4941500,3587000,3582700,3318300,0,4310200,5323300,1.36434318,0.44820658,0.40012152,1.32148986
Fxn,0.00000000,12132000,7999200,10863000,14837000,10415000,24909000,10197000,14242000,0.76688252,-0.38292251,0.40353242,1.30924350
Dnajc11,0.00000000,7258200,5268700,6994500,6546100,5134400,9002000,7826300,7477200,0.88544798,-0.17552054,0.40589260,1.30083005
Mrps18a,0.00162600,1232600,2243600,2228300,2718700,2864500,3307600,2012800,1889000,0.83614092,-0.25818199,0.40682311,1.29752646
Cbr2,0.00000000,9066900,9578500,6585600,10904000,10214000,8684600,7893900,26458000,0.67858518,-0.55939818,0.40684458,1.29745033
Coq10a,0.00000000,78958000,80581000,139520000,145440000,108110000,81595000,95678000,87734000,1.19131265,0.25255208,0.40698968,1.29693589
Cox7a2l,0.00175130,2975100,2088900,1493200,1315000,2579400,0,1225800,1708800,1.42767501,0.51366761,0.40706279,1.29667674
Nmnat3,0.00000000,10365000,14883000,18834000,18042000,20928000,32782000,16956000,10232000,0.76792999,-0.38095331,0.41057402,1.28428575
Cyb5r3,0.00000000,11053000,15427000,10575000,9419300,14905000,19730000,9953800,11098000,0.83456582,-0.26090226,0.41184722,1.27981884
Pet112,0.00000000,2916100,3129300,2014500,2686500,1269100,1802500,2256300,3496300,1.21783278,0.28431605,0.41331841,1.27467447
mt-Co3,0.00000000,283420000,326610000,236970000,511640000,305600000,148910000,307840000,335440000,1.23761375,0.30756113,0.41343990,1.27425049
Cecr5,0.00000000,1044400,1242400,802040,1098700,1115200,1747100,1126600,922140,0.85267886,-0.22992560,0.41497743,1.26889523
Spryd4,0.00000000,55219000,80535000,131740000,50100000,62131000,44307000,50267000,86064000,1.30821481,0.38759945,0.41576423,1.26616245
Fam210a,0.00000000,78204000,60759000,202480000,86329000,114370000,44982000,69526000,71609000,1.42359570,0.50953948,0.41732048,1.26077239
Apoh,0.00282890,192670,265280,0,0,144650,0,214340,675580,0.44264767,-1.17576927,0.41836439,1.25716804
Gapdh;Gm7293;Gm5069;Gm3839,0.00164740,473090,880320,643760,686220,533340,529620,4661400,746140,0.41471138,-1.26982045,0.42064398,1.24932840
Ndufb8,0.00000000,621440000,813130000,1084600000,1448300000,884700000,693460000,657270000,1024700000,1.21696681,0.28328982,0.42077876,1.24886623
Mrpl12,0.00000000,24519000,27921000,68419000,93824000,46014000,38941000,26492000,40550000,1.41241604,0.49816511,0.42251779,1.24291601
Ccdc51,0.00000000,0,234130,1925500,1132300,368450,1300700,1223300,2561700,0.60356426,-0.72842072,0.42484473,1.23499242
Clpb,0.00541270,140330,0,100750,127810,752760,0,115550,128910,0.36991837,-1.43472114,0.42741606,1.22628698
Cd36,0.00000000,69245000,33299000,49097000,47581000,31472000,21138000,63689000,42857000,1.25174043,0.32393543,0.42757126,1.22576323
Atp5l,0.00000000,520670000,509380000,246000000,214800000,346030000,3141400,392510000,335800000,1.38364337,0.46847215,0.42878295,1.22168055
,0.00000000,15951000,28114000,12355000,50850000,12268000,34574000,13201000,11866000,1.49174651,0.57700241,0.42955359,1.21908995
Ndufaf7,0.00151750,2404300,1463900,337660,1811900,1055800,0,1589900,1456000,1.46713802,0.55300459,0.42973881,1.21846802
Actg2;Acta1;Actc1;Acta2,0.00000000,4468400,5308300,0,3159600,2224500,6503800,4871400,4312300,0.72221416,-0.46950139,0.42982547,1.21817712
Ndufaf4,0.00000000,25440000,52060000,184010000,69037000,77911000,35041000,40148000,48056000,1.64323709,0.71654065,0.43010514,1.21723874
Pcx;Pc,0.00000000,716520000,596450000,1361700000,361200000,581430000,381040000,750890000,521420000,1.35846482,0.44197720,0.43107923,1.21397504
Atp5b,0.00000000,7866500000,8695700000,10215000000,13295000000,9292400000,10204000000,7051700000,8835500000,1.13250772,0.17952088,0.43281460,1.20817893
Adhfe1,0.00000000,22140000,13342000,15865000,16824000,18288000,12455000,16512000,13099000,1.12951917,0.17570876,0.43321296,1.20685169
Mpst,0.00000000,7625800,4832800,6993400,6059500,10600000,7101900,6350600,5721200,0.85684681,-0.22289079,0.43427826,1.20330836
Cox8b,0.00000000,2228800,1335900,6890500,29645000,1056800,0,11800000,2335700,2.63947342,1.40025014,0.43526905,1.20002066
Uqcrb,0.00000000,715560000,708060000,695660000,494350000,797170000,59912000,577690000,597780000,1.28588592,0.36276266,0.43532147,1.19984691
Amacr,0.00000000,2398700,2866200,3315000,3665900,3300400,2308600,4817500,3838600,0.85844474,-0.22020283,0.43617066,1.19703537
Acaa2,0.00000000,2065800000,1545100000,1614200000,1759800000,1806500000,1286000000,1746400000,1600200000,1.08476340,0.11738041,0.43707678,1.19404136
Ptpmt1,0.00000000,9596400,9979800,30482000,7124300,9305800,5175200,7847300,14770000,1.54137791,0.62422062,0.43743082,1.19287321
Gpd1l,0.00171230,1815400,1140000,2149300,860010,814260,3997500,2168400,1538200,0.70021812,-0.51412371,0.43771386,1.19194004
Tmlhe,0.00285710,534800,765730,491400,659400,0,0,778430,829920,1.52412721,0.60798332,0.43807525,1.19074939
Slc25a20,0.00000000,186780000,176560000,184790000,177920000,236450000,356700000,146400000,157300000,0.80955567,-0.30479781,0.44375103,1.17217763
Mrps15,0.00000000,5842900,5375100,11792000,11364000,9231100,15473000,10596000,7161300,0.80953525,-0.30483420,0.44452306,1.16966985
,0.00000000,24746000,16625000,22868000,33888000,25018000,21408000,20819000,17784000,1.15404156,0.20669518,0.44454990,1.16958271
Mrpl1,0.00000000,6247800,3631800,4566500,6038000,7156000,4988800,5981300,5002600,0.88565721,-0.17517967,0.44460241,1.16941233
Ak9,1.00000000,6872100,3482800,0,0,0,0,2673900,1666300,2.38581171,1.25448019,0.44510658,1.16777726
Gls,0.00000000,8114700,7301200,9685500,7186800,9585700,7456600,7730500,10656000,0.91135460,-0.13391559,0.44540692,1.16680411
Bckdha,0.00000000,23446000,19882000,30502000,27844000,27490000,20676000,23770000,20267000,1.10271900,0.14106520,0.44639701,1.16360073
Dut,0.00000000,6727000,9259200,21777000,17224000,13366000,7958200,8317200,12647000,1.30029039,0.37883385,0.44690891,1.16194730
Nudt13,0.00000000,1177500,1600500,1018800,1556100,1229600,1405400,1602300,1691700,0.90283353,-0.14746810,0.44760493,1.15970216
,0.00000000,226080,344620,181160,2387400,0,16556000,824100,0,0.18062382,-2.46893996,0.44814434,1.15796462
Uqcrq,0.00000000,549000000,483300000,494550000,245030000,446990000,513530,491340000,399880000,1.32355932,0.40442285,0.44871051,1.15614313
Slc25a12,0.00000000,855310000,784020000,985250000,631720000,894610000,958290000,998590000,714540000,0.91314431,-0.13108522,0.45493392,1.13627109
Hspa8;Hspa2,0.00000000,6326400,3599400,8579300,11369000,9887100,5079400,4622000,3339200,1.30296977,0.38180361,0.45789027,1.12692618
Mtpap,0.00155760,1804000,1782500,1755800,1187700,1639300,1296100,1854100,3218400,0.81544475,-0.29434097,0.45789028,1.12692616
Pccb,0.00000000,166480000,179930000,110370000,93093000,102390000,200980000,142350000,208600000,0.84037321,-0.25089792,0.45817365,1.12603362
,0.00291120,281180000,1429200000,1747500000,1648000000,6563900000,1415500000,538960000,1334600000,0.51820773,-0.94839757,0.45915907,1.12293405
Ndufs1,0.00000000,2584400000,3014000000,2043300000,2013600000,2052300000,3386000000,2389900000,3053000000,0.88733779,-0.17244468,0.46001357,1.12025167
Opa3,0.00168920,17472000,13346000,19558000,23202000,21096000,27607000,21471000,14249000,0.87153975,-0.19836164,0.46008861,1.12001637
Rhot1,0.00000000,1521000,1386400,979100,917390,921400,692430,1072400,1436300,1.16527715,0.22067312,0.46011111,1.11994580
Fundc2,0.00000000,1947600,1571700,1796100,1235700,2452300,0,1114100,1250100,1.36013703,0.44375201,0.46032399,1.11927845
Aifm1,0.00000000,63905000,16338000,88208000,72686000,63074000,37437000,63243000,17188000,1.33267566,0.41432571,0.46316066,1.11041538
Tbrg4,0.00000000,13517000,10877000,13097000,13583000,11217000,17264000,10267000,20928000,0.85585495,-0.22456179,0.46438280,1.10661357
Park7,0.00000000,20047000,16508000,12619000,13734000,13947000,26704000,14349000,18702000,0.85354536,-0.22846027,0.46467574,1.10570377
Mcu,0.00000000,3712100,1745700,2166200,2603900,3283000,3972100,2178500,2596900,0.85016417,-0.23418664,0.46539166,1.10348275
Nit2,0.00000000,24194000,14242000,47428000,30578000,28602000,25157000,14430000,24092000,1.26181988,0.33550598,0.47036595,1.08814448
Acad10,0.00152910,3911800,1920400,4286000,5290700,3414100,7584200,4044800,4032700,0.80777215,-0.30797969,0.47048230,1.08778766
Ndufs7,0.00000000,349890000,297850000,165830000,253300000,128860000,695090000,259310000,393290000,0.72254241,-0.46884582,0.47108842,1.08593022
Ogdhl,0.00000000,1306000000,1510900000,1189900000,1150800000,968300000,1567400000,1536700000,1631000000,0.90430270,-0.14512233,0.47119368,1.08560790
Tpi1,0.00000000,5938100,5895300,5099600,5466000,4365500,20477000,7694100,2990000,0.63048533,-0.66546530,0.47120977,1.08555864
Ttn,0.00000000,0,6369500,16605000,1645700,6269800,51939000,1957100,4692200,0.37960101,-1.39744428,0.47136246,1.08509124
,0.00000000,11189000,13625000,231750000,28245000,61644000,6870200,30044000,7498900,2.68543077,1.42515353,0.47162419,1.08429039
Slc25a11,0.00925930,0,637070,3760000,0,0,0,555090,848190,3.13342312,1.64773960,0.47181145,1.08371766
Acad9,0.00000000,91280000,77119000,96450000,88686000,88612000,98986000,76101000,126000000,0.90720017,-0.14050718,0.47248656,1.08165481
,0.00289020,2373100,0,0,681810,0,1097800,0,0,2.78275642,1.47651463,0.47314419,1.07964817
Mrpl18,0.00000000,0,2841100,6728700,3454200,1942000,0,1004600,4801100,1.68101501,0.74933261,0.47559173,1.07220447
mt-Nd5;Mtnd5,0.00000000,400510000,383480000,347450000,305600000,265650000,212750000,270750000,486670000,1.16282307,0.21763159,0.48036040,1.05781087
Mrps36,0.00000000,2479300,2935200,5677700,3185900,4838400,0,3089700,2649100,1.34989411,0.43284624,0.48354372,1.04828174
Ndufa8,0.00000000,737700000,948150000,1496000000,1050800000,1383100000,1144300000,1059500000,1180900000,0.88775746,-0.17176252,0.48399760,1.04692820
Golga3,0.00542740,1838400,1946600,0,0,1285600,7762300,605170,0,0.39210324,-1.35069454,0.48468221,1.04488896
Mrps30,0.00000000,3236600,4493700,4000900,4289800,5876300,3113500,4563900,4360300,0.89432846,-0.16112331,0.49056265,1.02749071
Ndufb10,0.00000000,1735000000,1202900000,1236600000,1378400000,1111400000,874730000,1694100000,1249200000,1.12647913,0.17182058,0.49072879,1.02700217
Mto1,0.00000000,4714000,7385500,11964000,6115400,9544400,1168900,5844100,6737800,1.29549864,0.37350751,0.49088109,1.02655450
Mfn1,0.00000000,7824100,9225500,6983000,7802700,9150700,3843100,7869700,7278000,1.13125811,0.17792813,0.49318962,1.01978566
